eco_id	eco_name	status	best_title	best_url	score	redirected_from	candidates	notes	extract_len	extract_preview
723	Al-Hajar montane woodlands and shrublands	redirect	Al Hajar montane woodlands	https://en.wikipedia.org/wiki/Al_Hajar_montane_woodlands	79.06976744186046	Al-Hajar montane woodlands and shrublands		Redirects to: Al Hajar montane woodlands	5689	Al Hajar montane woodlands is a temperate grasslands, savannas and shrublands ecoregion in the Hajar Mountains of the eastern part of the Arabian Peni...
330	Appalachian Piedmont forests	partial_match	Appalachian Highlands	https://en.wikipedia.org/wiki/Appalachian_Highlands	68.75		Appalachian Highlands | Southeastern mixed forests | Appalachian Mountains	Score 69, review needed	12357	The Appalachian Highlands is one of eight government-defined physiographic divisions of the contiguous United States. It links with the Appalachian Up...
810	Arabian sand desert	strong_match	Arabian Desert	https://en.wikipedia.org/wiki/Arabian_Desert	100.0		Arabian Desert | Sand cat | Erg (landform)		8099	The Arabian Desert (Arabic: ٱلصَّحْرَاء ٱلْعَرَبِيَّة) is a vast desert wilderness in West Asia that occupies almost the entire Arabian Peninsula with...
346	Arizona Mountains forests	redirect	Arizona/New Mexico Mountains ecoregion	https://en.wikipedia.org/wiki/Arizona/New_Mexico_Mountains_ecoregion	66.66666666666666	Arizona Mountains forests		Redirects to: Arizona/New Mexico Mountains ecoregion	9226	The Arizona/New Mexico Mountains ecoregion is a Level III ecoregion designated by the United States Environmental Protection Agency (EPA) in the U.S. ...
612	Bahamian-Antillean mangroves	redirect	Greater Antilles mangroves	https://en.wikipedia.org/wiki/Greater_Antilles_mangroves	66.66666666666666	Bahamian-Antillean mangroves		Redirects to: Greater Antilles mangroves	1077	The Greater Antilles mangroves is a mangrove ecoregion that includes the coastal mangrove forests of the Greater Antilles – Cuba, Hispaniola, Jamaica,...
564	Belizian pine savannas	redirect	Belizean pine forests	https://en.wikipedia.org/wiki/Belizean_pine_forests	69.76744186046511	Belizian pine savannas		Redirects to: Belizean pine forests	2477	The Belizean pine forests is an ecoregion that represents an example of lowland and premontane pine forests in the Neotropical realm, where the domina...
565	Beni savanna	redirect	Llanos de Moxos	https://en.wikipedia.org/wiki/Llanos_de_Moxos	29.629629629629633	Beni savanna		Redirects to: Llanos de Moxos	3578	The Llanos de Moxos, also known as the Beni savanna or Moxos plains, is a tropical savanna ecoregion of the Beni Department of northern Bolivia.   Set...
182	Brigalow tropical savanna	redirect	Brigalow Belt	https://en.wikipedia.org/wiki/Brigalow_Belt	76.19047619047619	Brigalow tropical savanna		Redirects to: Brigalow Belt	6607	The Brigalow Belt is a wide band of acacia-wooded grassland that runs between tropical rainforest of the coast and the semi-arid interior of Queenslan...
691	Caledon conifer forests	redirect	Caledonian Forest	https://en.wikipedia.org/wiki/Caledonian_Forest	75.0	Caledon conifer forests		Redirects to: Caledonian Forest	12545	The Caledonian Forest is the ancient (old-growth) temperate forest of Scotland. The forest today is a reduced-extent version of the pre-human-settleme...
566	Campos Rupestres montane savanna	redirect	Campos rupestres	https://en.wikipedia.org/wiki/Campos_rupestres	100.0	Campos Rupestres montane savanna		Redirects to: Campos rupestres	9337	"The campo rupestre (""rupestrian grassland"") is a discontinuous montane subtropical ecoregion occurring across three different biomes in Brazil: Cerrad..."
